"IID","mod_sig","mod_sug","mod_inf"
"HG00096",0.0896578580141068,0.0930013507604599,-1.15593719482422
"HG00097",0.095266193151474,0.0764597728848457,-1.10807919502258
"HG00099",0.0136855598539114,0.0021966400090605,-0.822622895240784
"HG00100",0.0858120769262314,0.0919623821973801,-1.26267635822296
"HG00101",0.0270628891885281,-0.0133376996964216,-0.91077071428299
"HG00102",0.11419714987278,0.0934716984629631,-1.61615324020386
"HG00103",0.0633722916245461,0.063711017370224,-0.737441301345825
"HG00104",0.0907148420810699,0.0764964371919632,-0.863834977149963
"HG00105",0.107307732105255,0.121820151805878,-1.1441878080368
"HG00106",0.0375409498810768,0.0209282003343105,-1.4508318901062
"HG00107",0.0871275514364243,0.0767634883522987,-1.15038287639618
"HG00108",0.112285472452641,0.115170821547508,-1.1412764787674
"HG00109",0.061152558773756,0.0352796986699104,-1.13459634780884
"HG00110",0.100694730877876,0.116302981972694,-0.679435551166534
"HG00111",0.0779571235179901,0.0716497674584389,-0.809430778026581
"HG00112",0.12690757215023,0.122395679354668,-0.704907178878784
"HG00113",0.0795249566435814,0.0369816496968269,-0.814787626266479
"HG00114",0.100226141512394,0.0797918736934662,-0.722104012966156
"HG00115",0.0665496811270714,0.0359638407826424,-1.16029977798462
"HG00116",0.0987770035862923,0.100952319800854,-1.31467616558075
"HG00117",0.0899020135402679,0.0912328734993935,-0.628433465957642
"HG00118",0.118520207703114,0.130375131964684,-0.993282675743103
"HG00119",-0.0366476811468601,-0.104236133396626,-1.00316715240479
"HG00120",0.0578811317682266,0.0373797714710236,-1.0811265707016
"HG00121",0.182227835059166,0.181614354252815,-0.833881199359894
"HG00122",0.106311962008476,0.136659294366837,-0.94693398475647
"HG00123",0.0615783482789993,0.0288766194134951,-1.30687761306763
"HG00125",0.0455881617963314,0.0197023507207632,-1.02295124530792
"HG00126",0.11898498237133,0.106989361345768,-1.52786374092102
"HG00127",0.0729810073971748,0.072606697678566,-1.05226671695709
"HG00128",0.0269217994064093,-0.0267693996429443,-0.933251440525055
"HG00129",0.168689876794815,0.14202755689621,-0.69783091545105
"HG00130",0.0327374711632729,0.00439964001998305,-0.949026703834534
"HG00131",0.0520639196038246,0.0257383603602648,-1.69490122795105
"HG00132",0.0496803596615791,0.0470929518342018,-0.801416099071503
"HG00133",0.133215963840485,0.141505971550941,-0.860812425613403
"HG00134",0.0706301331520081,0.0633425414562225,-1.17316341400146
"HG00135",0.0400710590183735,0.00211864011362195,-1.31773447990417
"HG00136",0.0887046605348587,0.0925951302051544,-0.844361484050751
"HG00137",0.0105971600860357,0.0223573204129934,-1.27727317810059
"HG00138",-0.024439150467515,-0.0410302095115185,-1.07531237602234
"HG00139",0.0467082299292088,0.0413237102329731,-0.866004467010498
"HG00140",0.0929801017045975,0.0899602770805359,-1.57021355628967
"HG00141",0.102391079068184,0.110652953386307,-1.10732877254486
"HG00142",0.0368863195180893,0.0095407897606492,-1.382448554039
"HG00143",0.0885598212480545,0.0693581774830818,-1.13438844680786
"HG00145",0.043406680226326,0.041727639734745,-1.06183087825775
"HG00146",0.0807578936219215,0.0994833186268806,-0.672695994377136
"HG00148",0.107562206685543,0.0715029165148735,-1.24246311187744
"HG00149",0.121084049344063,0.102309867739677,-0.580644547939301
"HG00150",0.133816987276077,0.127438694238663,-1.39912545681
"HG00151",0.0482291206717491,0.0312710516154766,-0.70153421163559
"HG00152",0.114824078977108,0.116357289254665,-1.13626337051392
"HG00154",0.088354729115963,0.0351251699030399,-0.878659546375275
"HG00155",0.0879238322377205,0.069464772939682,-1.24404942989349
"HG00156",0.0837798714637756,0.0489177592098713,-1.00970530509949
"HG00157",0.0959783494472504,0.0733914226293564,-0.734720826148987
"HG00158",0.0303090997040272,0.00266340002417564,-1.26631128787994
"HG00159",0.08426184207201,0.0615986883640289,-1.20256674289703
"HG00160",-0.0152104096487164,-0.0422505810856819,-0.853955507278442
"HG00171",0.0226942207664251,0.019763519987464,-0.8771852850914
"HG00173",0.0757184699177742,0.0511817112565041,-0.851275086402893
"HG00174",0.0731165632605553,0.0396333411335945,-1.51934552192688
"HG00176",0.0985063388943672,0.107905149459839,-0.820629298686981
"HG00177",0.185936599969864,0.202246576547623,-0.970510005950928
"HG00178",0.0296125691384077,0.0307911597192287,-0.788661897182465
"HG00179",-0.0114501696079969,-0.0179339796304703,-1.27891290187836
"HG00180",0.100431472063065,0.108527190983295,-1.23122811317444
"HG00181",0.096716046333313,0.0993842706084251,-0.792560875415802
"HG00182",0.038548368960619,0.0263802092522383,-1.23020660877228
"HG00183",0.074870377779007,0.0815680623054504,-0.782914996147156
"HG00185",0.0853843316435814,0.0476720184087753,-1.22103047370911
"HG00186",0.0962902680039406,0.097572922706604,-1.05290901660919
"HG00187",0.160443276166916,0.181955143809319,-0.65376877784729
"HG00188",0.0844900086522102,0.0796281397342682,-0.982782661914825
"HG00189",0.108284823596478,0.0942676067352295,-0.701515197753906
"HG00190",0.162531703710556,0.150029301643372,-0.671871960163116
"HG00231",0.047287080436945,0.0402699895203114,-1.68865358829498
"HG00232",0.124068468809128,0.0997897312045097,-1.40855884552002
"HG00233",0.14775986969471,0.131141066551208,-1.01832926273346
"HG00234",0.0562222190201283,0.0130772097036242,-0.988291621208191
"HG00235",0.0495873503386974,0.0452835708856583,-1.0905065536499
"HG00236",0.0639073774218559,-0.0061744898557663,-1.23335015773773
"HG00237",0.107976868748665,0.0956662967801094,-1.21815884113312
"HG00238",0.118479192256927,0.105428360402584,-0.614441871643066
"HG00239",0.187726065516472,0.14704929292202,-0.878978908061981
"HG00240",0.0907061994075775,0.0710843503475189,-0.600352227687836
"HG00242",0.132002726197243,0.133974686264992,-1.47624480724335
"HG00243",0.0533928610384464,0.0514933615922928,-1.05894613265991
"HG00244",0.109549209475517,0.0447571091353893,-1.32434058189392
"HG00245",0.06604965031147,0.0883866026997566,-1.34977865219116
"HG00246",0.093842588365078,0.0850921422243118,-1.34828543663025
"HG00249",0.0170299205929041,-0.0051838499493897,-1.3334174156189
"HG00250",0.106300987303257,0.0922951772809029,-0.847274541854858
"HG00251",-0.0125072095543146,-0.0301333498209715,-0.952876150608063
"HG00252",0.158240407705307,0.129072889685631,-1.11162734031677
"HG00253",0.136354923248291,0.132125377655029,-1.14790832996368
"HG00254",0.0225202105939388,0.0420642681419849,-0.908277750015259
"HG00255",0.126284644007683,0.122873701155186,-1.11917543411255
"HG00256",0.0449288599193096,0.0353224985301495,-0.749161958694458
"HG00257",0.0716587901115417,0.0694097504019737,-1.24643647670746
"HG00258",0.0395338609814644,0.0202215798199177,-0.881063044071198
"HG00259",0.121714800596237,0.130973994731903,-0.842679977416992
"HG00260",0.0396538712084293,0.00153176998719573,-1.17238593101501
"HG00261",0.015978729352355,-0.0155112100765109,-0.905066251754761
"HG00262",0.0480878800153732,0.051284771412611,-0.75332647562027
"HG00263",0.113024719059467,0.0931589379906654,-1.11491703987122
"HG00264",0.113788798451424,0.0927201882004738,-0.722535669803619
"HG00265",0.149456933140755,0.146167263388634,-1.12370252609253
"HG00266",0.0114309396594763,-0.0589468702673912,-0.815327823162079
"HG00267",0.0536511316895485,0.0402417592704296,-1.308638215065
"HG00268",0.133231744170189,0.122634567320347,-1.40197193622589
"HG00269",0.134006857872009,0.120244510471821,-1.21797478199005
"HG00270",0.128945097327232,0.119702339172363,-1.30286657810211
"HG00271",0.118709452450275,0.161864876747131,-0.933098554611206
"HG00272",0.101482957601547,0.0864367708563805,-1.2565211057663
"HG00273",0.0632161200046539,0.0457790791988373,-0.908639371395111
"HG00274",0.13457265496254,0.0877376198768616,-1.16011846065521
"HG00275",0.0784721896052361,0.0534642115235329,-0.859788954257965
